index,station_number,datee,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,date,store_nbr,item_nbr,units
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,9,29
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,28,2
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,51,1
12,14,2012-01-01,50.0,34.0,42.0,5.0,25.0,35.0,23.0,0.0,739.0,1729.0, ,0.0,0.0,29.13,30.52,11.4,32.0,11.3,01-01-2012,2,5,191
12,14,2012-01-01,50.0,34.0,42.0,5.0,25.0,35.0,23.0,0.0,739.0,1729.0, ,0.0,0.0,29.13,30.52,11.4,32.0,11.3,01-01-2012,2,44,215
5,7,2012-01-01,50.0,33.0,42.0,0.0,26.0,35.0,23.0,0.0,0.0,0.0, ,0.0,0.0,29.15,30.54,10.3,32.0,10.2,01-01-2012,3,5,214
5,7,2012-01-01,50.0,33.0,42.0,0.0,26.0,35.0,23.0,0.0,0.0,0.0, ,0.0,0.0,29.15,30.54,10.3,32.0,10.2,01-01-2012,3,45,112
7,9,2012-01-01,34.0,19.0,27.0,0.0,17.0,23.0,38.0,0.0,0.0,0.0,UP,0.0,0.004589201877934271,29.34,30.09,22.8,30.0,22.5,01-01-2012,4,9,61
7,9,2012-01-01,34.0,19.0,27.0,0.0,17.0,23.0,38.0,0.0,0.0,0.0,UP,0.0,0.004589201877934271,29.34,30.09,22.8,30.0,22.5,01-01-2012,4,27,21
10,12,2012-01-01,72.0,48.0,60.0,0.0,54.0,57.0,5.0,0.0,0.0,0.0,FG+ FG BR,0.0,0.0,30.15,30.19,4.4,25.0,4.8,01-01-2012,5,16,24
10,12,2012-01-01,72.0,48.0,60.0,0.0,54.0,57.0,5.0,0.0,0.0,0.0,FG+ FG BR,0.0,0.0,30.15,30.19,4.4,25.0,4.8,01-01-2012,5,32,1
10,12,2012-01-01,72.0,48.0,60.0,0.0,54.0,57.0,5.0,0.0,0.0,0.0,FG+ FG BR,0.0,0.0,30.15,30.19,4.4,25.0,4.8,01-01-2012,5,37,16
12,14,2012-01-01,50.0,34.0,42.0,5.0,25.0,35.0,23.0,0.0,739.0,1729.0, ,0.0,0.0,29.13,30.52,11.4,32.0,11.3,01-01-2012,6,9,44
12,14,2012-01-01,50.0,34.0,42.0,5.0,25.0,35.0,23.0,0.0,739.0,1729.0, ,0.0,0.0,29.13,30.52,11.4,32.0,11.3,01-01-2012,6,45,86
4,6,2012-01-01,63.0,34.0,49.0,0.0,31.0,43.0,16.0,0.0,727.0,1742.0, ,0.0,0.0,29.95,30.47,14.0,36.0,13.8,01-01-2012,7,5,137
4,6,2012-01-01,63.0,34.0,49.0,0.0,31.0,43.0,16.0,0.0,727.0,1742.0, ,0.0,0.0,29.95,30.47,14.0,36.0,13.8,01-01-2012,7,7,2
4,6,2012-01-01,63.0,34.0,49.0,0.0,31.0,43.0,16.0,0.0,727.0,1742.0, ,0.0,0.0,29.95,30.47,14.0,36.0,13.8,01-01-2012,7,23,16
3,4,2012-01-01,63.0,47.0,55.0,4.0,28.0,43.0,10.0,0.0,728.0,1742.0, ,0.0,0.0,29.79,30.48,8.0,35.0,8.2,01-01-2012,8,5,38
3,4,2012-01-01,63.0,47.0,55.0,4.0,28.0,43.0,10.0,0.0,728.0,1742.0, ,0.0,0.0,29.79,30.48,8.0,35.0,8.2,01-01-2012,8,23,4
15,17,2012-01-01,56.0,38.0,47.0,0.0,23.0,37.0,18.0,0.0,0.0,0.0, ,0.0,0.0,29.83,30.5,5.4,32.0,5.8,01-01-2012,9,5,131
15,17,2012-01-01,56.0,38.0,47.0,0.0,23.0,37.0,18.0,0.0,0.0,0.0, ,0.0,0.0,29.83,30.5,5.4,32.0,5.8,01-01-2012,9,10,4
15,17,2012-01-01,56.0,38.0,47.0,0.0,23.0,37.0,18.0,0.0,0.0,0.0, ,0.0,0.0,29.83,30.5,5.4,32.0,5.8,01-01-2012,9,45,72
15,17,2012-01-01,56.0,38.0,47.0,0.0,23.0,37.0,18.0,0.0,0.0,0.0, ,0.0,0.0,29.83,30.5,5.4,32.0,5.8,01-01-2012,9,93,4
